epoch,train_loss,val_loss,val_perplexity,lr_last
1,1.6146413745428514,1.3324361018207678,3.790265622840858,9.04272029154904e-05
2,1.3339380542403332,1.245908919502707,3.476092852498213,6.54126045542623e-05
3,1.269188864663057,1.2051777607949494,3.3373522757357694,3.4510915108467275e-05
4,1.2369166860808285,1.1857736441485411,3.2732181482339056,9.52552963660526e-06
5,1.2234280453030701,1.1807495622378785,3.2568144733531237,1.6166909855286352e-11
