epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1
1,0.690224,0.683796,0.527840,0.550640,0.524837,0.467381
2,0.682180,0.678504,0.562280,0.573160,0.555975,0.633815
3,0.673066,0.672947,0.581880,0.588280,0.582431,0.602970
4,0.668695,0.671238,0.588440,0.587920,0.591496,0.630223
5,0.664629,0.664895,0.595080,0.599320,0.589014,0.584374
