threshold,fpr,tpr
0.77687544,0.00312000,0.01096000
0.77654290,0.00312000,0.01120000
0.77659482,0.00312000,0.01112000
0.77653378,0.00320000,0.01120000
0.77648848,0.00320000,0.01128000
0.77611321,0.00320000,0.01144000
0.77644730,0.00320000,0.01136000
0.77550602,0.00328000,0.01152000
0.77568865,0.00328000,0.01144000
0.77530700,0.00328000,0.01160000
0.77472144,0.00336000,0.01200000
0.77470273,0.00336000,0.01208000
0.77494645,0.00336000,0.01184000
0.77478343,0.00336000,0.01192000
0.77521300,0.00336000,0.01160000
0.77504945,0.00336000,0.01176000
0.77506340,0.00336000,0.01168000
0.77454436,0.00344000,0.01208000
0.77394193,0.00344000,0.01216000
0.77371323,0.00352000,0.01232000
0.77374959,0.00352000,0.01224000
0.77388829,0.00352000,0.01216000
0.77306932,0.00360000,0.01248000
0.77345353,0.00360000,0.01240000
0.77369016,0.00360000,0.01232000
0.77236027,0.00368000,0.01288000
0.77247036,0.00368000,0.01272000
0.77245778,0.00368000,0.01280000
0.77258497,0.00368000,0.01256000
0.77290285,0.00368000,0.01248000
0.77255195,0.00368000,0.01264000
0.77203250,0.00376000,0.01296000
0.77214634,0.00376000,0.01288000
0.77153295,0.00384000,0.01336000
0.77191114,0.00384000,0.01296000
0.77162880,0.00384000,0.01320000
0.77153927,0.00384000,0.01328000
0.77183312,0.00384000,0.01304000
0.77170104,0.00384000,0.01312000
0.77140194,0.00392000,0.01344000
0.77145803,0.00392000,0.01336000
0.77128577,0.00392000,0.01352000
0.77110291,0.00400000,0.01352000
0.77109647,0.00408000,0.01352000
0.77095842,0.00416000,0.01352000
0.77076751,0.00416000,0.01360000
0.76974136,0.00416000,0.01392000
0.77035099,0.00416000,0.01368000
0.77011257,0.00416000,0.01384000
0.77026796,0.00416000,0.01376000
0.76881713,0.00424000,0.01424000
0.76890886,0.00424000,0.01416000
0.76948553,0.00424000,0.01400000
0.76954287,0.00424000,0.01392000
0.76912993,0.00424000,0.01408000
0.76843178,0.00432000,0.01448000
0.76874679,0.00432000,0.01432000
0.76880580,0.00432000,0.01424000
0.76827198,0.00432000,0.01456000
0.76860589,0.00432000,0.01440000
0.76820761,0.00440000,0.01456000
0.76811194,0.00440000,0.01464000
0.76802146,0.00448000,0.01464000
0.76801282,0.00448000,0.01472000
0.76778066,0.00456000,0.01472000
0.76773703,0.00456000,0.01480000
0.76762015,0.00464000,0.01480000
0.76756644,0.00472000,0.01496000
0.76749229,0.00472000,0.01512000
0.76640791,0.00472000,0.01528000
0.76713014,0.00472000,0.01520000
0.76750398,0.00472000,0.01504000
0.76761603,0.00472000,0.01480000
0.76761448,0.00472000,0.01488000
0.76640165,0.00480000,0.01528000
0.76620668,0.00480000,0.01544000
0.76635963,0.00480000,0.01536000
0.76586092,0.00488000,0.01568000
0.76564389,0.00488000,0.01576000
0.76554507,0.00488000,0.01584000
0.76595044,0.00488000,0.01560000
0.76598245,0.00488000,0.01552000
0.76603609,0.00488000,0.01544000
0.76550919,0.00496000,0.01592000
0.76552671,0.00496000,0.01584000
0.76536208,0.00504000,0.01600000
0.76548868,0.00504000,0.01592000
0.76529479,0.00504000,0.01608000
0.76501209,0.00512000,0.01608000
0.76500839,0.00520000,0.01608000
0.76497620,0.00520000,0.01616000
0.76481605,0.00528000,0.01616000
0.76423067,0.00536000,0.01648000
0.76422727,0.00536000,0.01656000
0.76465452,0.00536000,0.01624000
0.76464796,0.00536000,0.01632000
0.76456058,0.00536000,0.01640000
0.76469308,0.00536000,0.01616000
0.76376545,0.00544000,0.01656000
0.76371741,0.00544000,0.01672000
0.76367861,0.00544000,0.01680000
0.76371783,0.00544000,0.01664000
